key,value
Bank,Tornado
City,Limburg
Product Type,Current
Subscriber count for Year 1,10000
Subscriber count for Year 2,30000
Subscriber count for Year 3,100000
Product Name,SuperCurrent
Revenue per subscriber,1000
 Money Needs,"Feel in Control of Finances,Feel protected from today's new threats,Get the best solution to a problem"
Customer Needs,"Helps me understand what I can afford,Is respected by others"
Sustainability Needs,"I want loans to be linked to the borrowers environmental, social and governance performance (ESG),I want the bank to offer services that support local environmental and social projects.,I would like to partner with companies that provide eco-friendly and ethical sourcing for all their operations."
Topologies you are targeting,"Ambitious Strivers,Struggling Families,Digital Pioneers"
Predicted Subscriber Count,2053.0
Total Revenue,2053000
