key,value
Bank,Tornado
City,Limburg
Product Type,Current
Subscriber count for Year 1,3221
Subscriber count for Year 2,4455
Subscriber count for Year 3,3345
Product Name,x
Revenue per subscriber,1000
 Money Needs,"Feel in control of my future,Use an organisation I trusted,Get the best solution to a problem"
Customer Needs,"Have flexibility with my provider,Find solution that is simple to use,No Small Print"
Sustainability Needs,"I want loans to be linked to the borrowers environmental, social and governance performance (ESG),I want favourable loan terms and products for my energy efficient home,I want my bank to provide guidance on investing in green and ethical funds."
Topologies you are targeting,"Struggling Families,Ambitious Strivers,Comfortable Altruistic"
Predicted Subscriber Count,5220
Total Revenue,5220000
