key,value
Bank,Tornado
City,Limburg
Product Type,Credit Card
Subscriber count for Year 1,14599
Subscriber count for Year 2,17793
Subscriber count for Year 3,35567
Product Name,Tcredit
Revenue per subscriber,1000
 Money Needs,"Feel in Control of Finances,Have one view of all my finances,Have a wide range of choice"
Customer Needs,"No Small Print,Wide range of choice,Organisation understands I am very busy"
Sustainability Needs,"I want to be rewarded for using sustainable products and services,I want a paperless experience,I want comprehensive online and mobile services to reduce the need for high street visits."
Topologies you are targeting,"Ambitious Strivers,Struggling Families,Digital Pioneers"
Predicted Subscriber Count,4260
Total Revenue,4260000
