key,value
Bank,Tornado
City,Limburg
Product Type,Credit Card
Subscriber count for Year 1,2000
Subscriber count for Year 2,300
Subscriber count for Year 3,50000
Product Name,NKB Credit
Revenue per subscriber,1000
 Money Needs,"Feel in control of my future,Feel protected from today's new threats,Use an organisation I trusted"
Customer Needs,"Feel organisation is looking after my money,have flexibility with my provider,Work with an orgnisation that is transparent and fair,No Small Print"
Sustainability Needs,"I want loans to be linked to the borrowers environmental, social and governance performance (ESG),I want to be rewarded for using sustainable products and services,I want favourable loan terms and products for my energy efficient home"
Topologies you are targeting,"Living for Today,Ambitious Strivers,Comfortable Altruistic"
Predicted Subscriber Count,5640
Total Revenue,5640000
