key,value
Bank,Tornado
City,Limburg
Product Type,Credit Card
Subscriber count for Year 1,2000
Subscriber count for Year 2,8000
Subscriber count for Year 3,50000
Product Name,Zingcredit
Revenue per subscriber,1000
 Money Needs,"Know my finances are ok,Have one view of all my finances,Able to pay back small amounts"
Customer Needs,"Feel organisation is looking after my money,No Small Print,Rewarded for loyalty"
Sustainability Needs,"I want loans to be linked to the borrowers environmental, social and governance performance (ESG),I want a paperless experience,Active Investment in technologies that reduce environmental impact."
Topologies you are targeting,"Comfortable Altruistic,Retired and liquid,Living for Today"
Predicted Subscriber Count,6750
Total Revenue,6750000
