key,value
Bank,Culture
City,CharlesTown
Product Type,Mortgage
Subscriber count for Year 1,100
Subscriber count for Year 2,100
Subscriber count for Year 3,150
Product Name,my mort
Revenue per subscriber,400
 Money Needs,"Feel in control of my future,Get the best solution to a problem,Have confidence to deal with my money"
Customer Needs,"have flexibility with my provider,Find solution that is simple to use,Be dealt with Impartially"
Sustainability Needs,"I want loans to be linked to the borrowers environmental, social and governance performance (ESG),I want to use services that reduce paper and energy use.,I want the bank to offer services that support local environmental and social projects."
Topologies you are targeting,"Living for Today,Struggling Families,Digital Pioneers"
Predicted Subscriber Count,1867
Total Revenue,746800
