key,value
Bank,Tornado
City,CharlesTown
Product Type,Credit Card
Subscriber count for Year 1,100
Subscriber count for Year 2,200
Subscriber count for Year 3,100
Product Name,My Credit
Revenue per subscriber,1000
 Money Needs,"Feel in control of my future,Use an organisation I trusted,Have confidence to deal with my money"
Customer Needs,"have flexibility with my provider,Find solution that is simple to use,Have a bank that takes ownership of issues I report to them"
Sustainability Needs,"I want loans to be linked to the borrowers environmental, social and governance performance (ESG),I want to use services that reduce paper and energy use.,I want a paperless experience"
Topologies you are targeting,"Living for Today,Ambitious Strivers,Digital Pioneers"
Predicted Subscriber Count,1607
Total Revenue,1607000
