key,value
Bank,Tornado
City,Limburg
Product Type,Credit Card
Subscriber count for Year 1,10000
Subscriber count for Year 2,15000
Subscriber count for Year 3,30000
Product Name,NewCredit
Revenue per subscriber,1000
 Money Needs,"Feel protected from today's new threats,Have confidence to deal with my money,Able to help those who matter to me"
Customer Needs,"Use an Organisation I trust,Find solution that is simple to use,Be dealt with Impartially"
Sustainability Needs,"I want to be rewarded for using sustainable products and services,I want my bank to provide guidance on investing in green and ethical funds.,I want a paperless experience"
Topologies you are targeting,"Struggling Families,Ambitious Strivers,Living for Today"
Predicted Subscriber Count,4860
Total Revenue,4860000
