key,value
Bank,Tornado
City,Limburg
Product Type,Current
Subscriber count for Year 1,40147
Subscriber count for Year 2,48932
Subscriber count for Year 3,97809
Product Name,Limburg credit
Revenue per subscriber,1000
 Money Needs,"Feel in Control of Finances,Know my finances are ok,Feel in control of my future"
Customer Needs,"Have flexibility with my provider,Find solution that is simple to use,No Small Print"
Sustainability Needs,"I want loans to be linked to the borrowers environmental, social and governance performance (ESG),I want to be rewarded for using sustainable products and services,I want favourable loan terms and products for my energy efficient home"
Topologies you are targeting,"Struggling Families,Ambitious Strivers,Money Managers"
Predicted Subscriber Count,5960
Total Revenue,5960000
