key,value
Bank,Culture
City,CharlesTown
Product Type,Current
Subscriber count for Year 1,100
Subscriber count for Year 2,200
Subscriber count for Year 3,900
Product Name,my current
Revenue per subscriber,100
 Money Needs,"Know my finances are ok,Feel protected from today's new threats,Get the best solution to a problem"
Customer Needs,"have flexibility with my provider,Find solution that is simple to use,Be dealt with Impartially"
Sustainability Needs,"I want loans to be linked to the borrowers environmental, social and governance performance (ESG),I want my bank to provide guidance on investing in green and ethical funds.,I want the bank to offer services that support local environmental and social projects."
Topologies you are targeting,"Living for Today,Ambitious Strivers,Digital Pioneers"
Predicted Subscriber Count,1272
Total Revenue,127200
