key,value
Bank,Tornado
City,Limburg
Product Type,Credit Card
Subscriber count for Year 1,3433
Subscriber count for Year 2,3434343
Subscriber count for Year 3,343434344
Product Name,x
Revenue per subscriber,1000
 Money Needs,"Feel in Control of Finances,Know my finances are ok,Feel in control of my future"
Customer Needs,"Use an Organisation I trust,Feel organisation is looking after my money,have flexibility with my provider"
Sustainability Needs,"I want loans to be linked to the borrowers environmental, social and governance performance (ESG),I want to be rewarded for using sustainable products and services,I want favourable loan terms and products for my energy efficient home"
Topologies you are targeting,"Ambitious Strivers,Living for Today,Comfortable Altruistic"
Predicted Subscriber Count,4314
Total Revenue,4314000
