key,value
Bank,Tornado
City,Limburg
Product Type,Current
Subscriber count for Year 1,899
Subscriber count for Year 2,89897
Subscriber count for Year 3,89898988
Product Name,a
Revenue per subscriber,1000
 Money Needs,"Feel protected from today's new threats,Use an organisation I trusted"
Customer Needs,"Use an Organisation I trust,Feel organisation is looking after my money,have flexibility with my provider"
Sustainability Needs,"I want loans to be linked to the borrowers environmental, social and governance performance (ESG),I want to be rewarded for using sustainable products and services,I want favourable loan terms and products for my energy efficient home"
Topologies you are targeting,"Living for Today,Ambitious Strivers,Comfortable Altruistic"
Predicted Subscriber Count,3250.0
Total Revenue,3250000
