key,value
Bank,Tornado
City,Limburg
Product Type,Credit Card
Subscriber count for Year 1,500
Subscriber count for Year 2,600
Subscriber count for Year 3,10000
Product Name,Attul credit
Revenue per subscriber,1000
 Money Needs,"Feel in Control of Finances,Know my finances are ok,Feel in control of my future"
Customer Needs,"Use an Organisation I trust,have flexibility with my provider,Work with an orgnisation that is transparent and fair"
Sustainability Needs,"I want to be rewarded for using sustainable products and services,I want favourable loan terms and products for my energy efficient home,I want to use services that reduce paper and energy use."
Topologies you are targeting,"Ambitious Strivers,Comfortable Altruistic,Living for Today"
Predicted Subscriber Count,4314
Total Revenue,4314000
