key,value
Bank,Tornado
City,Limburg
Product Type,Current
Subscriber count for Year 1,45
Subscriber count for Year 2,5667
Subscriber count for Year 3,6777
Product Name,Zingcurrent
Revenue per subscriber,1000
 Money Needs,"Feel in control of my future,Feel protected from today's new threats,Use an organisation I trusted"
Customer Needs,"Feel organisation is looking after my money,have flexibility with my provider,Work with an orgnisation that is transparent and fair"
Sustainability Needs,"I want to be rewarded for using sustainable products and services,I want favourable loan terms and products for my energy efficient home,I want to use services that reduce paper and energy use."
Topologies you are targeting,"Living for Today,Struggling Families,Digital Pioneers"
Predicted Subscriber Count,4190
Total Revenue,4190000
