key,value
Bank,Tornado
City,Limburg
Product Type,Credit Card
Subscriber count for Year 1,3000
Subscriber count for Year 2,5000
Subscriber count for Year 3,10000
Product Name,xyz
Revenue per subscriber,1000
 Money Needs,"Know my finances are ok,Feel in control of my future,Feel protected from today's new threats"
Customer Needs,"Feel organisation is looking after my money,have flexibility with my provider,Work with an orgnisation that is transparent and fair"
Sustainability Needs,"I want my products to have carbon offsets or donate to environmental causes,I want to be rewarded for using sustainable products and services,I want to use services that reduce paper and energy use."
Topologies you are targeting,"Ambitious Strivers,Living for Today,Comfortable Altruistic"
Predicted Subscriber Count,4162
Total Revenue,4162000
