key,value
Bank,Tornado
City,Limburg
Product Type,Credit Card
Subscriber count for Year 1,4000
Subscriber count for Year 2,6000
Subscriber count for Year 3,1000
Product Name,asasd
Revenue per subscriber,1000
 Money Needs,"Have confidence to deal with my money,Have one view of all my finances,Have a wide range of choice"
Customer Needs,"Work with an orgnisation that is transparent and fair,Find solution that is simple to use,No Small Print"
Sustainability Needs,"I want to be rewarded for using sustainable products and services,I want favourable loan terms and products for my energy efficient home,I want to use services that reduce paper and energy use."
Topologies you are targeting,"Struggling Families,Ambitious Strivers,Money Managers"
Predicted Subscriber Count,4850
Total Revenue,4850000
