key,value
Bank,Tornado
City,CharlesTown
Product Type,Current
Subscriber count for Year 1,15000
Subscriber count for Year 2,25000
Subscriber count for Year 3,50000
Product Name,
Revenue per subscriber,1000
 Money Needs,"Feel Environmentally responsible,Help Budgeting,Feel like I am part of a group / Community"
Customer Needs,"Partner acknowledges my efforts,have advice to manage my finances,Feel I share a common purpose with organisation"
Sustainability Needs,"No greenwashing,Demonstrating Utilizing energy-efficient systems and renewable energy in branches and offices.,Implementing practices to reduce water usage in operations is great"
Topologies you are targeting,"Living for Today,Digital Pioneers,Ambitious Strivers"
Predicted Subscriber Count,1777
Total Revenue,1777000
