key,value
Bank,Tornado
City,CharlesTown
Product Type,Current
Subscriber count for Year 1,1000
Subscriber count for Year 2,3000
Subscriber count for Year 3,10000
Product Name,FrugalFriday2
Revenue per subscriber,1000
 Money Needs,"Feel Environmentally responsible,Help Budgeting,Feel like I am part of a group / Community"
Customer Needs,"Partner acknowledges my efforts,Have advice to manage my finances,Feel I share a common purpose with organisation"
Sustainability Needs,"Using my data to promote and enhance sustainable business practices.,Understanding my preferences for sustainable business services.,Ensuring sustainable products and services are affordable and accessible to customers like me"
Topologies you are targeting,"Living for Today,Digital Pioneers,Ambitious Strivers"
Predicted Subscriber Count,1812
Total Revenue,1812000
