key,value
Bank,Tornado
City,Limburg
Product Type,Current
Subscriber count for Year 1,300
Subscriber count for Year 2,5000
Subscriber count for Year 3,100000
Product Name,card
Revenue per subscriber,1000
 Money Needs,"Feel protected from today's new threats,Use an organisation I trusted,Get the best solution to a problem"
Customer Needs,"Feel organisation is looking after my money,Work with an orgnisation that is transparent and fair,Find solution that is simple to use"
Sustainability Needs,"I want to be rewarded for using sustainable products and services,I want favourable loan terms and products for my energy efficient home,I want to use services that reduce paper and energy use."
Topologies you are targeting,"Living for Today,Digital Pioneers,Ambitious Strivers"
Predicted Subscriber Count,3314
Total Revenue,3314000
