key,value
Bank,Tornado
City,CharlesTown
Product Type,Current
Subscriber count for Year 1,1000
Subscriber count for Year 2,3000
Subscriber count for Year 3,10000
Product Name,FrugalFriday
Revenue per subscriber,1000
 Money Needs,"Feel in Control of Finances,Know my finances are ok,Feel in control of my future"
Customer Needs,"Use an Organisation I trust,Feel organisation is looking after my money,Have flexibility with my provider"
Sustainability Needs,"I want my products to have carbon offsets or donate to environmental causes,I want loans to be linked to the borrowers environmental, social and governance performance (ESG),I want to be rewarded for using sustainable products and services"
Topologies you are targeting,"Living for Today,Digital Pioneers,Ambitious Strivers"
Predicted Subscriber Count,1591
Total Revenue,1591000
