key,value
Bank,Culture
City,Limburg
Product Type,Credit Card
Subscriber count for Year 1,100
Subscriber count for Year 2,200
Subscriber count for Year 3,100
Product Name,my card
Revenue per subscriber,100
 Money Needs,"Know my finances are ok,Feel in control of my future,Use an organisation I trusted"
Customer Needs,"have flexibility with my provider,Work with an orgnisation that is transparent and fair,Find solution that is simple to use"
Sustainability Needs,"I want my products to have carbon offsets or donate to environmental causes,I want to be rewarded for using sustainable products and services,I want to use services that reduce paper and energy use."
Topologies you are targeting,"Living for Today,Ambitious Strivers,Comfortable Altruistic"
Predicted Subscriber Count,4062
Total Revenue,406200
