key,value
Bank,Tornado
City,Limburg
Product Type,Credit Card
Subscriber count for Year 1,5000
Subscriber count for Year 2,10000
Subscriber count for Year 3,60000
Product Name,credit zoom
Revenue per subscriber,1000
 Money Needs,"Know my finances are ok,Feel protected from today's new threats,Have confidence to deal with my money"
Customer Needs,"Use an Organisation I trust,have flexibility with my provider,Find solution that is simple to use"
Sustainability Needs,"I want loans to be linked to the borrowers environmental, social and governance performance (ESG),I want favourable loan terms and products for my energy efficient home,I want to use services that reduce paper and energy use."
Topologies you are targeting,"Struggling Families,Ambitious Strivers,Living for Today"
Predicted Subscriber Count,5620
Total Revenue,5620000
