key,value
Bank,Culture
City,CharlesTown
Product Type,Current
Subscriber count for Year 1,100
Subscriber count for Year 2,200
Subscriber count for Year 3,300
Product Name,first blue ai product
Revenue per subscriber,100
 Money Needs,"Know my finances are ok,Feel in control of my future,Use an organisation I trusted"
Customer Needs,"Use an Organisation I trust,have flexibility with my provider,Find solution that is simple to use"
Sustainability Needs,"I want to be rewarded for using sustainable products and services,I want to use services that reduce paper and energy use.,I want my bank to provide guidance on investing in green and ethical funds."
Topologies you are targeting,"Living for Today,Digital Pioneers,Comfortable Altruistic"
Predicted Subscriber Count,1572
Total Revenue,157200
